,MSE,R2,cvMSE,n_components
AVBF000109,0.06327950158552702,0.5581373111348804,0.08413416836153917,7
QIAN880122,0.03896638113385998,0.7279088881589989,0.08620844963976333,10
ROBB790101,0.05262669828849408,0.6325227944405005,0.08880786996155046,10
JURD980101,0.0514626988390059,0.6406506701933337,0.09189261503437923,10
WEBA780101,0.06396044536001505,0.553382475214522,0.09237495643637209,7
CHOC760101,0.05291111749844335,0.6305367763189258,0.09330290737682974,9
RICJ880117,0.06840411669066918,0.5223535872903359,0.09426629362429947,5
NAKH920105,0.05490638542160751,0.6166043901994802,0.09433553845745371,10
NOZY710101,0.06612713394849065,0.5382531075417498,0.09585547095040878,7
RADA880106,0.04776940082294823,0.6664399155455554,0.09657522743305183,10
RADA880103,0.05893246070865896,0.5884914561950056,0.09680740113825173,8
PARS000101,0.07146114296583946,0.5010072458048174,0.09741158650537915,6
CHAM830106,0.055295727318668025,0.613885726916545,0.09762543069326284,8
LEVM760106,0.06851940416688453,0.521548567766531,0.09765407818360614,6
FAUJ880103,0.0536345688947205,0.6254851218145017,0.09772514652873766,9
GUYH850103,0.06978488786999115,0.5127120564515055,0.09806218896089469,6
EISD860101,0.07379833299656657,0.4846873152508443,0.09903652763689952,4
PRAM900103,0.06753086971269447,0.5284512215646787,0.0990815126199193,5
LEVM780102,0.06753086971269447,0.5284512215646787,0.0990815126199193,5
FAUJ830101,0.0715763373910782,0.5002028760294097,0.09967542727670439,4
ZHOH040102,0.07255114936842964,0.4933960423683028,0.09974078650287055,6
GOLD730102,0.06487405952518246,0.5470029683996569,0.09987117195614147,9
CHAM830105,0.045738520930087165,0.6806209698796959,0.0999001202538124,9
WILM950102,0.061078943476372036,0.5735031799984487,0.10067836694010304,8
KARS160116,0.06857915248964833,0.5211313622909804,0.10069139895314176,7
BAEK050101,0.07502501872177189,0.4761217191359778,0.10101086057680062,3
JANJ780102,0.053747388428940904,0.6246973352248781,0.10116532193875676,10
