,MSE,R2,cvMSE,n_components
AVBF000109_JUNJ780101,0.04744217786429963,0.668724820020845,0.07042765587245878,10
AVBF000109_JUKT750101,0.04815364358765861,0.6637568580476636,0.0745812984174591,10
AVBF000109_KARS160116,0.042751915035104573,0.7014755859602886,0.07494328822911911,10
AVBF000109_DAYM780101,0.04615276911111731,0.6777283931282803,0.07494334078828374,10
AVBF000109_NAKH920107,0.0428630437815531,0.7006996056588384,0.07614797463742784,10
AVBF000109_ROBB790101,0.04804742397548503,0.6644985592663717,0.0769165553491559,10
AVBF000109_KARS160106,0.04243398435020255,0.7036956051415975,0.07727292747366973,9
AVBF000109_FUKS010106,0.043858373797179634,0.6937495003957861,0.07734219294034365,10
AVBF000109_CEDJ970102,0.04564517531154011,0.6812727756773322,0.07759879790247963,10
AVBF000109_CHAM830103,0.05003754333426172,0.6506021241017699,0.07801286192966694,10
AVBF000109_JANJ780102,0.04674730795060926,0.6735768981943704,0.07864109924137161,10
AVBF000109_WILM950101,0.04664854029705259,0.6742665645141099,0.07868027910437866,10
AVBF000109_ISOY800101,0.04635101284190314,0.6763441137686004,0.0788219605106221,10
AVBF000109_AURR980103,0.04215954316134969,0.7056119495912763,0.07904876480519568,10
AVBF000109_CEDJ970103,0.04901587601527438,0.6577361352330556,0.07967946179593684,10
AVBF000109_QIAN880122,0.043601742239092744,0.6955414852797166,0.07973319921465784,10
AVBF000109_WILM950102,0.045478991934252956,0.6824331867439956,0.07974786153326376,10
AVBF000109_PALJ810110,0.05322581835974704,0.6283393100734644,0.08000202694912376,8
AVBF000109_MEIH800103,0.04390420146474276,0.6934294988801848,0.0800747721409636,10
AVBF000109_RADA880103,0.04449495470908701,0.6893044376761401,0.080104359700197,9
AVBF000109_EISD860102,0.05015750300872694,0.6497644799518243,0.08030564133213182,10
AVBF000109_NAKH900110,0.045413777666138036,0.6828885593550248,0.08035214907110325,9
AVBF000109_GOLD730102,0.04800435530928669,0.6647992954633297,0.08038573770210308,9
AVBF000109_SUYM030101,0.050508476928272546,0.6473137292991451,0.08045526898082667,10
AVBF000109_FUKS010108,0.05060478376349223,0.6466412461711175,0.08051187218788748,10
AVBF000109_HOPT810101,0.04240642379929631,0.7038880525981183,0.08074306638945107,10
AVBF000109_JURD980101,0.047527790813796704,0.668127009242969,0.08090769678473456,10
AVBF000109_RACS820103,0.047189532322033365,0.6704889716945852,0.08093734760241852,10
AVBF000109_KARS160102,0.046306705565198905,0.6766534988290114,0.08097769991999311,9
AVBF000109_WARP780101,0.04454333656879026,0.6889666009662242,0.08110317826225184,10
AVBF000109_GUYH850102,0.04578463108755484,0.6802989958177618,0.08113290756594148,10
AVBF000109_KHAG800101,0.0477412894014957,0.6666362095737889,0.0811951750471432,10
