,MSE,R2,cvMSE,n_components
AVBF000109_JUNJ780101_JUKT750101,0.046298209335440856,0.6767128255751463,0.07367287104329834,10
AVBF000109_JUNJ780101_GUYH850103,0.04581895839831726,0.6800592980095468,0.07581063974750182,9
AVBF000109_JUNJ780101_AVBF000109,0.04919343543996471,0.65649628847603,0.07591072774588935,10
AVBF000109_JUNJ780101_JUNJ780101,0.04788805500929697,0.6656113872463193,0.07634071317402111,9
AVBF000109_JUNJ780101_KARS160106,0.03896432088652719,0.7279232742777797,0.07666289236654215,10
AVBF000109_JUNJ780101_OOBM770104,0.03843510190105849,0.7316186593244146,0.07698513367130919,10
AVBF000109_JUNJ780101_KARS160116,0.04204463051439196,0.706414351789415,0.07728958667504146,10
AVBF000109_JUNJ780101_ROBB790101,0.04675801702883222,0.6735021197593274,0.07735974131818438,9
AVBF000109_JUNJ780101_CHOC750101,0.04283905439627763,0.7008671166855761,0.07783846219000722,10
AVBF000109_JUNJ780101_FAUJ880103,0.04086850091173382,0.71462692893783,0.07910375018792949,10
AVBF000109_JUNJ780101_JURD980101,0.04388723130526933,0.6935479966576249,0.07956550985949276,10
AVBF000109_JUNJ780101_WARP780101,0.04131566440450428,0.7115045139641467,0.07968548391283461,10
AVBF000109_JUNJ780101_RACS820103,0.04394481255114445,0.6931459232611366,0.08045701896323844,10
AVBF000109_JUNJ780101_PONJ960101,0.04470036550807787,0.6878701127258817,0.08058019843249145,10
AVBF000109_JUNJ780101_CEDJ970101,0.04524390736415532,0.6840747151639635,0.08060758075116228,10
AVBF000109_JUNJ780101_WILM950101,0.04297203372911098,0.6999385599792656,0.0806426615079294,10
AVBF000109_JUNJ780101_KHAG800101,0.044976025585092956,0.6859452571282436,0.08096901595926434,10
AVBF000109_JUNJ780101_WEBA780101,0.04734778622342468,0.6693839298936847,0.08110844783021726,10
AVBF000109_JUNJ780101_GOLD730102,0.04337359488742012,0.6971345730844818,0.08149427356629006,10
AVBF000109_JUNJ780101_LEVM760103,0.04396109194430217,0.6930322489076172,0.08179871422487335,10
AVBF000109_JUNJ780101_NAKH920107,0.05333208012990657,0.6275973144775795,0.08187545545451128,6
AVBF000109_JUNJ780101_KIMC930101,0.04632512667229469,0.6765248694986712,0.08226064221272358,10
AVBF000109_JUNJ780101_RADA880103,0.04239554447759848,0.7039640197947299,0.08243682833762275,10
AVBF000109_JUNJ780101_RADA880105,0.04273052591422085,0.7016249400833354,0.08245419514102063,10
AVBF000109_JUNJ780101_BIGC670101,0.04296503893888001,0.6999874026019484,0.08272899875358924,10
AVBF000109_JUNJ780101_FASG760101,0.041748068890580955,0.7084851569194812,0.08273595278624833,10
AVBF000109_JUNJ780101_JANJ780102,0.042324008668690745,0.704463533919875,0.0827547038071095,10
AVBF000109_JUNJ780101_KARS160113,0.04235081221410313,0.70427637241654,0.08279626798813298,10
AVBF000109_JUNJ780101_QIAN880122,0.04174883041626314,0.7084798394031111,0.08282863319671108,10
AVBF000109_JUNJ780101_PARS000101,0.04583420823155977,0.6799528127789042,0.08301251736820785,10
AVBF000109_JUNJ780101_KUMS000102,0.046257239151418106,0.6769989086703352,0.08305942774129033,10
AVBF000109_JUNJ780101_FUKS010111,0.04342109048532864,0.6968029248875889,0.08305960019375684,10
AVBF000109_JUNJ780101_AURR980103,0.04116219266635449,0.7125761632847725,0.08325989409549617,10
AVBF000109_JUNJ780101_EISD860101,0.04501942449458219,0.6856422149366928,0.08331997743474148,10
AVBF000109_JUNJ780101_HARY940101,0.04591958326305369,0.6793566633145021,0.08366177713838677,10
AVBF000109_JUNJ780101_RICJ880117,0.05322928886083202,0.6283150765554578,0.08381096779438076,5
AVBF000109_JUNJ780101_GRAR740103,0.04622781217969417,0.6772043888104327,0.08394544186635253,10
AVBF000109_JUNJ780101_CEDJ970103,0.04393311566654217,0.6932275992660387,0.0840940334955867,10
AVBF000109_JUNJ780101_KARS160117,0.039714666957567375,0.7226838219397886,0.08416556403615244,10
AVBF000109_JUNJ780101_KARS160104,0.044229037878688544,0.6911612589650302,0.08438960465524573,10
AVBF000109_JUNJ780101_DAYM780101,0.04653148447119492,0.67508393191848,0.08462418767597527,10
AVBF000109_JUNJ780101_CHAM830103,0.04365650165859056,0.6951591158909929,0.08470619144966715,10
AVBF000109_JUNJ780101_WOLR790101,0.044717299333909256,0.6877518686558883,0.08480142424888473,10
AVBF000109_JUNJ780101_CEDJ970102,0.04367189381039482,0.6950516368904756,0.0848618909991182,10
AVBF000109_JUNJ780101_KARS160103,0.041635440259014236,0.70927161049039,0.08488652056984718,10
AVBF000109_JUNJ780101_WOLR810101,0.04387745705832499,0.6936162474328087,0.08504273200753018,10
AVBF000109_JUNJ780101_KARS160115,0.04022360622185818,0.7191300443948656,0.0850941321100114,10
AVBF000109_JUNJ780101_PALJ810110,0.045389890107196205,0.6830553593575532,0.08514485191088587,10
AVBF000109_JUNJ780101_CHAM830106,0.042091700884101,0.706085672839607,0.08516013601761502,10
AVBF000109_JUNJ780101_RADA880106,0.0442651537875463,0.6909090718870847,0.08521801726911253,10
AVBF000109_JUNJ780101_FUKS010106,0.0425563529858709,0.7028411399034968,0.08529090492207356,10
AVBF000109_JUNJ780101_WILM950102,0.04033275204848796,0.7183679102562479,0.08544291393061859,10
AVBF000109_JUNJ780101_LEVM760106,0.046001662685023335,0.6787835261502817,0.08544371813517346,9
AVBF000109_JUNJ780101_CHOC760104,0.040879190570661625,0.7145522861021796,0.08562354690933772,10
AVBF000109_JUNJ780101_KARS160102,0.04132158350339962,0.7114631825868756,0.08569281299319498,10
AVBF000109_JUNJ780101_NAKH900110,0.04168131818417463,0.7089512580403392,0.0860111372041735,10
AVBF000109_JUNJ780101_TSAJ990102,0.044314604224872114,0.6905637736047838,0.08607844871713043,10
AVBF000109_JUNJ780101_MEEJ810102,0.042522220205227376,0.7030794793634435,0.08608561990546476,10
AVBF000109_JUNJ780101_ISOY800101,0.04187145549483639,0.7076235834974378,0.08625675736933217,10
AVBF000109_JUNJ780101_NAKH900111,0.0630962920131202,0.5594166112598995,0.0862908524410886,3
AVBF000109_JUNJ780101_CHAM820101,0.04295740979737042,0.7000406747184584,0.08637206846042678,10
AVBF000109_JUNJ780101_TAKK010101,0.044565995457951105,0.6888083804139056,0.08637698678487718,10
AVBF000109_JUNJ780101_MEEJ810101,0.04539633242056751,0.6830103745230107,0.08638376329118157,10
AVBF000109_JUNJ780101_LIFS790101,0.0468521330199138,0.6728449346702776,0.086434807303547,10
AVBF000109_JUNJ780101_FAUJ880105,0.04382477020731088,0.6939841446676733,0.0864642589572476,10
AVBF000109_JUNJ780101_NAKH920105,0.04354655726939307,0.6959268261639755,0.08663308469943154,10
AVBF000109_JUNJ780101_CEDJ970104,0.047190361601796016,0.6704831810708198,0.08673200195149808,10
AVBF000109_JUNJ780101_NAKH900109,0.04344249852304224,0.6966534386737212,0.08676329842020429,10
AVBF000109_JUNJ780101_JANJ790101,0.044320718308082735,0.6905210807077208,0.08678987799567983,9
AVBF000109_JUNJ780101_ROBB760110,0.04578814831390868,0.6802744360305462,0.08681567241825296,10
AVBF000109_JUNJ780101_EISD860103,0.04420412645074898,0.6913352083523838,0.08685491983418477,10
AVBF000109_JUNJ780101_RADA880104,0.04468544103018978,0.687974326092996,0.0868682404908011,10
AVBF000109_JUNJ780101_TSAJ990101,0.04423847751301698,0.691095344694188,0.08688201869259428,10
AVBF000109_JUNJ780101_NAKH900101,0.046905017027167636,0.6724756607496927,0.08693214266501306,10
AVBF000109_JUNJ780101_ROSM880102,0.04456606913809842,0.6888078659264778,0.08698135348542704,10
AVBF000109_JUNJ780101_QIAN880118,0.04650064910329685,0.6752992464868663,0.08702531585205912,9
AVBF000109_JUNJ780101_JOND920101,0.04439649759526798,0.6899919355855726,0.08706166409920431,10
AVBF000109_JUNJ780101_PTIO830102,0.047572082012188814,0.6678177364528199,0.08712047051761987,10
AVBF000109_JUNJ780101_BUNA790101,0.04550171800361185,0.6822744970915386,0.08717585261501612,10
AVBF000109_JUNJ780101_COWR900101,0.04233052989861656,0.7044179980335685,0.08721410939681419,10
AVBF000109_JUNJ780101_NAKH920103,0.056677440848503,0.6042376159131893,0.08721466335781718,5
AVBF000109_JUNJ780101_NAKH920108,0.0642002462991633,0.5517080137363257,0.08722288146391186,3
AVBF000109_JUNJ780101_KRIW790103,0.04468557204924791,0.6879734112243282,0.08728178638297,10
AVBF000109_JUNJ780101_KYTJ820101,0.04408195467646139,0.6921882989636803,0.08735555882695964,10
AVBF000109_JUNJ780101_FINA910101,0.04212197521154393,0.7058742758565029,0.08752430838001711,10
AVBF000109_JUNJ780101_PALJ810111,0.043743733601604814,0.6945500001437217,0.0876983878817871,10
AVBF000109_JUNJ780101_FUKS010108,0.06576872210229096,0.5407557951122084,0.08771602393483977,3
AVBF000109_JUNJ780101_NOZY710101,0.04609476462524154,0.6781334218888286,0.08774870179942182,10
AVBF000109_JUNJ780101_DAWD720101,0.04315106854225888,0.6986884110059669,0.08775851966240884,10
AVBF000109_JUNJ780101_KARS160108,0.05823593551859604,0.5933550926907438,0.08784755829001512,6
AVBF000109_JUNJ780101_CORJ870105,0.06067078392972466,0.5763532415546988,0.08788784802086211,5
AVBF000109_JUNJ780101_KARS160105,0.05732867443665214,0.5996902377397069,0.08795791092166387,6
AVBF000109_JUNJ780101_EISD840101,0.045629340378518374,0.6813833464926463,0.08802930978721932,10
AVBF000109_JUNJ780101_AURR980116,0.046702773207108424,0.6738878715904646,0.08815073252596634,10
AVBF000109_JUNJ780101_RACS770101,0.046100959850230584,0.6780901624018985,0.08816593437443092,10
AVBF000109_JUNJ780101_FODM020101,0.048312224298961405,0.6626495342264782,0.08820290918251497,10
AVBF000109_JUNJ780101_FASG760105,0.04586493717028802,0.6797382413750178,0.08824094584566355,10
AVBF000109_JUNJ780101_KARS160107,0.0413227094824241,0.7114553201968932,0.08834161904063609,10
AVBF000109_JUNJ780101_ARGP820101,0.04531862737647616,0.6835529666556965,0.08835131031633957,10
AVBF000109_JUNJ780101_CEDJ970105,0.04664913198168548,0.6742624329492857,0.0883786922674893,10
AVBF000109_JUNJ780101_QIAN880135,0.046444049864882576,0.6756944628056872,0.0885371861275657,10
AVBF000109_JUNJ780101_GUYH850101,0.049250123790287786,0.6561004499141977,0.08863219722024389,9
AVBF000109_JUNJ780101_FASG760103,0.04295185920014474,0.7000794329538031,0.08864153833387975,10
AVBF000109_JUNJ780101_LEVM760102,0.04305931133854246,0.699329125356444,0.08864802786400619,10
AVBF000109_JUNJ780101_CHAM830105,0.03823443627092712,0.7330198501156036,0.08882757479902716,10
AVBF000109_JUNJ780101_WOLS870103,0.04530348729159449,0.6836586855448761,0.08883109246753287,10
AVBF000109_JUNJ780101_CIDH920105,0.045491039499258805,0.6823490620379788,0.08886257441255695,10
AVBF000109_JUNJ780101_LEVM760105,0.05729230987401504,0.5999441610959855,0.08886307455923362,6
AVBF000109_JUNJ780101_CORJ870107,0.06248348921668048,0.5636956381895435,0.08894971349613491,4
AVBF000109_JUNJ780101_JOND920102,0.04395721856857236,0.6930592955842197,0.08895260964504495,10
AVBF000109_JUNJ780101_OOBM850103,0.05141919035519048,0.6409544775111132,0.08900965125126074,9
AVBF000109_JUNJ780101_NAKH920101,0.047614078921845465,0.6675244840257313,0.08913268580354126,10
AVBF000109_JUNJ780101_JOND750101,0.04406074997818543,0.6923363653163226,0.08921120763467685,10
AVBF000109_JUNJ780101_PALJ810112,0.053808447347569656,0.624270978232669,0.0892130796921032,8
AVBF000109_JUNJ780101_WOEC730101,0.0580586321215497,0.5945931516798452,0.0892374191203523,6
AVBF000109_JUNJ780101_NAKH920104,0.06532491135861919,0.5438547987963791,0.08926255933564141,3
AVBF000109_JUNJ780101_AURR980107,0.051651453124961916,0.6393326529170027,0.08926290906775657,7
AVBF000109_JUNJ780101_RADA880101,0.04390108959089975,0.6934512282065738,0.08927790952621242,10
AVBF000109_JUNJ780101_CORJ870106,0.06060179962693354,0.5768349392412644,0.08930675543432866,5
AVBF000109_JUNJ780101_NADH010104,0.041807789833022094,0.7080681426329047,0.08937180399626024,10
AVBF000109_JUNJ780101_MUNV940103,0.04834998390074804,0.6623858697101993,0.0893773100672182,10
AVBF000109_JUNJ780101_FUKS010103,0.05057450777223671,0.6468526547721498,0.08967171961053841,9
AVBF000109_JUNJ780101_CORJ870108,0.06303925434185169,0.5598148890301382,0.08972339035539115,4
AVBF000109_JUNJ780101_ROSG850102,0.044668404762859416,0.6880932854827226,0.08973664961674464,10
AVBF000109_JUNJ780101_FASG760102,0.04837432225390221,0.6622159219404193,0.08974274944085903,10
AVBF000109_JUNJ780101_NAKH900105,0.06495768228129177,0.5464190545738687,0.08978295469353663,3
AVBF000109_JUNJ780101_FUKS010109,0.047118031870994545,0.6709882389258288,0.08980646662415949,10
AVBF000109_JUNJ780101_VINM940101,0.06033399984770417,0.5787049086241274,0.08986025236310004,5
AVBF000109_JUNJ780101_KIDA850101,0.06260154557884386,0.5628712843258734,0.08986215326067692,3
AVBF000109_JUNJ780101_OOBM770105,0.04095555836441716,0.7140190316067107,0.08987360722715368,10
AVBF000109_JUNJ780101_BUNA790103,0.04663424389346238,0.6743663922177612,0.08989700561284056,10
AVBF000109_JUNJ780101_QIAN880131,0.047587523247776785,0.6677099147142578,0.08991631350870674,10
AVBF000109_JUNJ780101_GUOD860101,0.04779034723646653,0.6662936527216174,0.08991771750565866,10
AVBF000109_JUNJ780101_GUYH850102,0.04142259736731548,0.7107578316216473,0.08995637954098533,10
AVBF000109_JUNJ780101_CORJ870104,0.06260000226196437,0.5628820608669184,0.0899865920343967,4
AVBF000109_JUNJ780101_NAKH900103,0.06410747983351456,0.5523557754746615,0.09002327075202629,3
AVBF000109_JUNJ780101_CHOP780204,0.04578080451170822,0.6803257157041447,0.09002552213342109,10
AVBF000109_JUNJ780101_GEOR030109,0.04696365405875507,0.6720662151030756,0.0900301172865405,10
AVBF000109_JUNJ780101_BIOV880102,0.06262951916389704,0.5626759527698546,0.09005268737701336,3
AVBF000109_JUNJ780101_OOBM770103,0.05866763100772067,0.5903406863693264,0.09010090360453561,6
AVBF000109_JUNJ780101_GEIM800101,0.04348178891612491,0.6963790850789695,0.09018923644042981,10
AVBF000109_JUNJ780101_WERD780101,0.06502388950703548,0.5459567484232762,0.09018990101100721,3
AVBF000109_JUNJ780101_YUTK870102,0.0669410657404064,0.5325696542730385,0.09019434230256079,3
AVBF000109_JUNJ780101_KRIW710101,0.06370538931871653,0.555163458714639,0.09020078635770074,3
AVBF000109_JUNJ780101_LIFS790102,0.04783426950093632,0.6659869560916917,0.09022037590389531,10
AVBF000109_JUNJ780101_BULH740102,0.06055442465078832,0.5771657451708299,0.09022666455863158,6
AVBF000109_JUNJ780101_WILM950104,0.04786246610385281,0.6657900672656205,0.0902585335558167,10
AVBF000109_JUNJ780101_NAKH920106,0.047803890711331364,0.6661990825042421,0.0903077724743332,10
AVBF000109_JUNJ780101_MEIH800103,0.04196403618958759,0.7069771189442289,0.09031042352354761,10
AVBF000109_JUNJ780101_BIOV880101,0.04845833043261631,0.6616293168186469,0.09031978143768406,9
AVBF000109_JUNJ780101_AVBF000103,0.05840115376023176,0.5922014208907209,0.09032538150724938,6
AVBF000109_JUNJ780101_ISOY800104,0.06553452564742653,0.5423911220771216,0.09032655039988897,3
AVBF000109_JUNJ780101_AVBF000108,0.04877154138213301,0.6594422542017204,0.09036044228103217,10
AVBF000109_JUNJ780101_NAKH900112,0.06612599198779172,0.5382610815272012,0.09037118366430716,3
AVBF000109_JUNJ780101_CHOC760103,0.06313149836826702,0.5591707753357765,0.09041027468952816,3
AVBF000109_JUNJ780101_MIYS850101,0.04259243913456847,0.7025891606322514,0.09041840535160399,10
AVBF000109_JUNJ780101_PONP930101,0.06282177317378516,0.5613334979207207,0.09043096489779184,4
AVBF000109_JUNJ780101_CHOP780205,0.04420288397037455,0.6913438842380237,0.09043233631152778,10
AVBF000109_JUNJ780101_RICJ880111,0.055339140333582226,0.6135825862308397,0.09046652171888929,7
AVBF000109_JUNJ780101_RACS820113,0.0519666089486841,0.6371320097988964,0.09047257925585053,8
AVBF000109_JUNJ780101_CHOP780209,0.04731978197604514,0.6695794755559722,0.09047499507146324,10
AVBF000109_JUNJ780101_BEGF750103,0.04490107624545279,0.6864686069636925,0.09047646471782628,10
AVBF000109_JUNJ780101_JOND750102,0.04760862878348157,0.6675625407855321,0.09058413269809114,10
AVBF000109_JUNJ780101_ROSM880101,0.045947900555528845,0.679158931747708,0.09059437775407192,10
AVBF000109_JUNJ780101_RACS770102,0.06399155380145755,0.5531652538515566,0.09063302159893008,3
AVBF000109_JUNJ780101_BROC820101,0.044591437323139096,0.688630727134723,0.09065272491302483,10
AVBF000109_JUNJ780101_GEOR030107,0.04667072147925915,0.6741116796530344,0.09071980798061217,10
AVBF000109_JUNJ780101_CORJ870101,0.055874219124374166,0.6098462838370152,0.09074583380526033,6
AVBF000109_JUNJ780101_MAXF760105,0.04636879194220712,0.6762199673883496,0.09076681673306385,10
AVBF000109_JUNJ780101_PUNT030101,0.06112827073904225,0.5731587418095929,0.0907759897577008,4
AVBF000109_JUNJ780101_FAUJ880112,0.046965609950789564,0.6720525576675422,0.09079070036444234,10
AVBF000109_JUNJ780101_MEIH800102,0.06322379279502005,0.5585263097102495,0.0907928785674701,3
AVBF000109_JUNJ780101_TANS770106,0.046045991952295605,0.6784739875360138,0.0907948767089544,10
AVBF000109_JUNJ780101_MEIH800101,0.0628581974270029,0.5610791577621634,0.09080783987909556,4
AVBF000109_JUNJ780101_GEIM800107,0.062456336240537556,0.563885239667883,0.09082687599546199,5
AVBF000109_JUNJ780101_AURR980102,0.04588173406499136,0.6796209534559882,0.09085261456446175,10
AVBF000109_JUNJ780101_QIAN880121,0.060665364087653,0.5763910867641426,0.09090228640469247,6
AVBF000109_JUNJ780101_BAEK050101,0.06568923712440385,0.541310816014295,0.09090635750268267,3
AVBF000109_JUNJ780101_ROSM880105,0.06143148558220054,0.5710414791487823,0.09091108194658207,4
AVBF000109_JUNJ780101_FASG890101,0.06347773004061559,0.5567531384410321,0.09095387847833722,3
AVBF000109_JUNJ780101_ANDN920101,0.04398995784639325,0.6928306865565415,0.09097707357561959,10
AVBF000109_JUNJ780101_KANM800102,0.04699729474527942,0.671831311795836,0.09099586791647647,10
AVBF000109_JUNJ780101_NADH010103,0.06284068571548783,0.5612014370428593,0.09104850319338742,3
AVBF000109_JUNJ780101_NAKH920102,0.06261641261322182,0.5627674720703862,0.09114572722628414,4
AVBF000109_JUNJ780101_ZHOH040101,0.04669993578969365,0.6739076844659915,0.0911457950758628,10
AVBF000109_JUNJ780101_AURR980109,0.04749340068461719,0.6683671456942515,0.09125505430901011,9
AVBF000109_JUNJ780101_CHOC760101,0.04464460169767934,0.6882594954894417,0.09129445107274713,10
AVBF000109_JUNJ780101_AVBF000104,0.060166291798365856,0.5798759660403239,0.09130869983730851,6
AVBF000109_JUNJ780101_VENT840101,0.06522872910172056,0.5445264120295665,0.09133972596501082,4
AVBF000109_JUNJ780101_BEGF750102,0.061999931114321775,0.5670721863287849,0.09140223100150417,5
AVBF000109_JUNJ780101_OOBM850104,0.04300619781700012,0.699700001909763,0.09140748040797879,10
AVBF000109_JUNJ780101_GUYH850104,0.04395709836068189,0.6930601349615912,0.09143976818588587,10
AVBF000109_JUNJ780101_CASG920101,0.061269626104318735,0.5721716976606727,0.09146470674160595,4
AVBF000109_JUNJ780101_FUKS010110,0.04802697617374792,0.66464134042663,0.09146577418951914,10
AVBF000109_JUNJ780101_MUNV940104,0.04570883811941796,0.6808282364700884,0.09148766941072448,10
AVBF000109_JUNJ780101_GEIM800106,0.06140297147645535,0.571240585006437,0.0914987740602776,5
AVBF000109_JUNJ780101_KARS160114,0.05890482932152294,0.5886843982806902,0.0915296471456238,6
AVBF000109_JUNJ780101_VINM940102,0.045196190070238784,0.6844079114007705,0.09159000960781194,10
AVBF000109_JUNJ780101_PONP800107,0.06587403767181699,0.540020406565141,0.09160389804179442,3
AVBF000109_JUNJ780101_MIYS990102,0.06394447007561518,0.5534940260634295,0.09160876955391498,4
AVBF000109_JUNJ780101_GUYH850105,0.042808049555911436,0.7010836146318111,0.09163092482527765,10
AVBF000109_JUNJ780101_LEVM760101,0.06669314281536907,0.5343008292593052,0.09164528871271624,2
AVBF000109_JUNJ780101_OOBM850101,0.04367711184155941,0.6950152008689645,0.09166561020414384,10
AVBF000109_JUNJ780101_KUHL950101,0.06245455070606855,0.5638977075451855,0.09181841015426129,4
AVBF000109_JUNJ780101_NAGK730103,0.04518974163379597,0.6844529389909728,0.09184124904744971,10
AVBF000109_JUNJ780101_KARS160101,0.04155608615890844,0.7098257175103044,0.09187161514835442,10
AVBF000109_JUNJ780101_TANS770101,0.05841907270091936,0.5920762980450054,0.0918720870532344,6
AVBF000109_JUNJ780101_KARS160112,0.045816701774532266,0.680075055369014,0.09192868110126506,10
AVBF000109_JUNJ780101_CHAM830107,0.06101143813885261,0.5739745504928695,0.091928995386336,5
AVBF000109_JUNJ780101_NAKH900108,0.045588859120255135,0.6816660155588787,0.09194986706685448,10
AVBF000109_JUNJ780101_QIAN880127,0.049571990886093965,0.6538529438996646,0.0919520183042588,9
AVBF000109_JUNJ780101_MIYS990104,0.061889675131171704,0.5678420723733566,0.09195919298886451,4
AVBF000109_JUNJ780101_RACS820105,0.04891647044165618,0.6584302559664144,0.09196773194262112,10
AVBF000109_JUNJ780101_MIYS990101,0.06408242333308103,0.5525307378618121,0.09201166861450928,4
AVBF000109_JUNJ780101_CHOP780216,0.057174324132073504,0.6007680218388134,0.09203781759833725,7
AVBF000109_JUNJ780101_NADH010102,0.059581241488418035,0.5839612052820635,0.0920739716492642,5
AVBF000109_JUNJ780101_CORJ870103,0.061840273364029176,0.5681870308056665,0.09212295608769441,4
AVBF000109_JUNJ780101_OLSK800101,0.06306230379116924,0.5596539413077776,0.09212897844745963,3
