,MSE,R2,cvMSE,n_components
QIAN880114,0.045992373122624386,0.4513917932965469,0.07762234020972597,2
OOBM770103,0.04329920211651092,0.4835165917293296,0.0777487524270164,2
ZIMJ680105,0.0517884185728645,0.3822551542292367,0.07923743192519539,2
KARS160117,0.03375758076898136,0.5973313705961454,0.07946265084928064,3
MEIH800103,0.04506511099643179,0.4624524013421081,0.07992345678297817,2
ROBB760104,0.04039101175359596,0.5182061933182115,0.07998086531617274,4
WILM950103,0.05266643925737654,0.37178191006994077,0.0803684888644199,2
PONP800107,0.059271037661065416,0.2930006548260824,0.08040485855665264,2
GEOR030103,0.04481587997393562,0.46542528956298646,0.08127270666828944,2
GRAR740102,0.04969094566843102,0.40727432089937954,0.08165481913446734,2
SUYM030101,0.057084425140459305,0.3190831005065149,0.08199077949269666,2
YUTK870104,0.06833599762018379,0.1848716088698914,0.08252184336947536,3
WOLS870101,0.05892328711867582,0.2971487078289543,0.08260599623826173,2
YUTK870103,0.06860222774496122,0.18169595122476023,0.0827312484225662,3
OOBM770105,0.04316917206940721,0.485067621739652,0.0827852365633511,2
MITS020101,0.0567144195241485,0.32349661744101343,0.08302447054078015,2
ROSG850101,0.042866680542286734,0.48867581420656603,0.08304776112159615,2
KRIW710101,0.05505247639094566,0.3433206791287766,0.08312485289703814,2
KUHL950101,0.04813145043701616,0.42587635911097677,0.08320228710949713,2
FAUJ880102,0.0624173142790842,0.25547110251091365,0.08327261029108723,2
RICJ880111,0.058881910768776254,0.297642254988563,0.08332030221098444,2
AURR980118,0.03891813540007028,0.5357750204985199,0.08347530612557233,2
GUYH850102,0.05163358290197812,0.3841020717499358,0.08354962954361025,2
NADH010107,0.0406436693178716,0.5151924324740438,0.08362940769777372,2
QIAN880125,0.050938004090620805,0.39239910489719776,0.0839252239555068,2
NAKH920104,0.04439267335998568,0.4704734009297361,0.08401574452217633,2
RICJ880103,0.04908387542581324,0.4145156023235326,0.084027584067578,2
AURR980105,0.04551924609031566,0.45703536754842944,0.08404928693097638,2
NAKH920103,0.03907808055406849,0.5338671558212197,0.08417025243916512,2
VHEG790101,0.04313200382680762,0.4855109735724551,0.08429923237769454,3
OOBM850104,0.047334850158112875,0.43537840088002,0.08445028890367175,2
RADA880101,0.04070811081404239,0.5144237586429004,0.08446853731584374,3
KARS160108,0.04663371642039132,0.4437416945392789,0.08447990289036532,2
CHAM830105,0.04614249580572116,0.4496010934398631,0.08449573989685735,6
RACS820103,0.042176973621734136,0.49690280601293557,0.08460704593091468,2
GEOR030101,0.05009456335391619,0.4024598710331496,0.08467420618664503,2
KRIW790102,0.050208799315971324,0.40109723670860586,0.08470837389870636,2
ROSG850102,0.051155094880286356,0.3898095931863601,0.08479795087523982,2
ISOY800107,0.05412955065247057,0.3543295616875288,0.08484902975623772,2
JANJ790102,0.04211397430320055,0.4976542771986493,0.08492007727036469,2
FINA910104,0.05261754774030266,0.37236509997043576,0.08505628337430068,2
KARS160111,0.051543652659805005,0.38517478153934936,0.08515772134027516,2
BIGC670101,0.04403900955826077,0.4746919887273897,0.08517195181128054,2
RACS770101,0.047151303882192026,0.43756778547671304,0.08519158342423286,2
KYTJ820101,0.052394072627301926,0.37503076544195446,0.08521951806084083,2
KARS160106,0.038761164647347905,0.5376474057943669,0.0852918622928229,2
ROSM880101,0.038195435853819494,0.5443955563642591,0.08534888322631543,3
CHOC760104,0.05804152454461794,0.30766658615635367,0.08538599392839272,2
RACS770103,0.05036061800311554,0.3992863065033695,0.08539168504052534,2
MEIH800101,0.05429826283729039,0.35231712173544694,0.08549152033384308,2
FUKS010103,0.05037531623592548,0.3991109824094796,0.08556592266293651,2
