,MSE,R2,cvMSE,n_components
QIAN880114_OOBM770105,0.024016823686379512,0.7135214889179902,0.07220858656234012,2
QIAN880114_ZIMJ680105,0.0321397567891989,0.6166291682971669,0.07233865852642811,2
QIAN880114_KARS160117,0.02619826952942995,0.6875006726233881,0.07272426535545881,2
QIAN880114_KARS160106,0.024251998318779125,0.7107162687350936,0.07324813889936962,2
QIAN880114_OOBM770103,0.02880983593681616,0.6563492736811503,0.07328116046600633,2
QIAN880114_AURR980118,0.02854238582229131,0.6595394836605508,0.0733102066407225,2
QIAN880114_ROBB760104,0.0273568508683314,0.6736808327781998,0.07370383208669817,3
QIAN880114_KARS160108,0.015255087976505701,0.8180336023196567,0.07405891907522906,5
QIAN880114_RICJ880112,0.029385377480000363,0.6494840742480229,0.0745433061792075,2
QIAN880114_KARS160103,0.02610647333539377,0.6885956399402109,0.07466225249342757,2
QIAN880114_QIAN880101,0.0333739860054143,0.6019069821824464,0.07469109664132292,2
QIAN880114_OOBM850104,0.030166468859999115,0.6401670263951074,0.07517892010757041,2
QIAN880114_KHAG800101,0.01997756855493515,0.7617027060117727,0.07528294542140447,3
QIAN880114_RACS820108,0.027100037046026246,0.6767441704784714,0.07531844052363366,2
QIAN880114_FAUJ880102,0.027428638886879204,0.6728245278423075,0.0755122534234878,3
QIAN880114_MITS020101,0.03377891735507158,0.5970768626106383,0.07554018646334883,2
QIAN880114_RICJ880111,0.0237754451121573,0.7164007112270374,0.07568870072641569,3
QIAN880114_RACS770103,0.0337654566007679,0.5972374257600921,0.07573409874073839,2
QIAN880114_RICJ880108,0.02799358793403066,0.666085678276745,0.07587824288405987,2
QIAN880114_KARS160122,0.03101261671678616,0.6300739690727497,0.07594126681301562,2
QIAN880114_PRAM820103,0.031600351117379216,0.6230633302725379,0.07603350775234849,2
QIAN880114_FUKS010103,0.031801449879681344,0.6206645753515272,0.07606349432367442,2
QIAN880114_GEIM800104,0.029085775461547076,0.6530577999531559,0.07626854022608662,2
QIAN880114_GUYH850102,0.03500231315269808,0.5824839001462976,0.07634537964533782,2
QIAN880114_GEOR030101,0.031158968257274,0.6283282523218168,0.07634635173741909,2
QIAN880114_KUMS000104,0.013979013766048176,0.8332549256976246,0.07640218072960894,5
QIAN880114_RACS820103,0.027857275921476077,0.6677116410980225,0.07657056071707101,2
QIAN880114_FUKS010104,0.030060330348385535,0.6414330723624083,0.07658168967218366,2
QIAN880114_QIAN880104,0.03004516908816331,0.6416139195598274,0.07671455566624402,2
QIAN880114_GRAR740102,0.03549850346624409,0.5765652214694585,0.07674923636455258,2
QIAN880114_GEOR030105,0.030591861594873444,0.6350928384465563,0.07677122610474503,2
QIAN880114_KUMS000103,0.015884250656482413,0.8105287969323267,0.07681839190871675,5
QIAN880114_QIAN880125,0.03646844592207044,0.5649955120770401,0.07694729149204167,2
