,MSE,R2,cvMSE,n_components
QIAN880114_OOBM770105_QIAN880125,0.006207903983755381,0.9259506122279231,0.06482857189972324,6
QIAN880114_OOBM770105_SNEP660104,0.007829581775710972,0.9066068453184932,0.06727827267249782,5
QIAN880114_OOBM770105_KUMS000104,0.00406369670527109,0.9515272378722106,0.06761679237093816,7
QIAN880114_OOBM770105_FAUJ880102,0.00623041149134534,0.9256821372061326,0.06774654178936657,6
QIAN880114_OOBM770105_RACS820108,0.014319295069673018,0.8291959675904053,0.06790016556243654,2
QIAN880114_OOBM770105_RICJ880112,0.010493621048072194,0.8748295372874206,0.06912427277288084,3
QIAN880114_OOBM770105_QIAN880101,0.006563253023491547,0.9217119225016137,0.06922335977105072,5
QIAN880114_OOBM770105_AURR980118,0.016821027480986336,0.7993546952524191,0.06924156879010904,2
QIAN880114_OOBM770105_NADH010107,0.004101877233234098,0.9510718112535204,0.06932835613641694,5
QIAN880114_OOBM770105_ROBB760104,0.015842599233793154,0.8110256252270371,0.06938218466356302,3
QIAN880114_OOBM770105_LEVM780101,0.00508243801254087,0.939375443917463,0.0694357028849553,5
QIAN880114_OOBM770105_PRAM900102,0.00508243801254087,0.939375443917463,0.0694357028849553,5
QIAN880114_OOBM770105_RICJ880108,0.015161779038642334,0.8191466140125768,0.06944912568103694,2
QIAN880114_OOBM770105_CHOP780205,0.015140531646640079,0.8194000580693208,0.06958028152172442,2
QIAN880114_OOBM770105_QIAN880112,0.0069586723481715185,0.916995264675974,0.06975367355747791,4
QIAN880114_OOBM770105_FINA910104,0.013015408222602734,0.8447490468587495,0.0697689774825642,3
QIAN880114_OOBM770105_GEOR030105,0.009633161751137213,0.885093304946772,0.06983455461400129,3
QIAN880114_OOBM770105_KHAG800101,0.013034364507298559,0.8445229316868925,0.06990136383142694,3
QIAN880114_OOBM770105_NAGK730103,0.004959822211402789,0.9408380349996087,0.07002919580037723,5
QIAN880114_OOBM770105_ROBB760102,0.00741367472321547,0.9115678857417941,0.07005810955597015,4
QIAN880114_OOBM770105_OOBM770103,0.019063980750735773,0.7726002034205641,0.07005846248052053,2
QIAN880114_OOBM770105_GRAR740102,0.020489610892470794,0.755594940539382,0.07032076379044495,2
QIAN880114_OOBM770105_MITS020101,0.016207011736719318,0.8066788243085976,0.07054086925710863,3
QIAN880114_OOBM770105_PONP800106,0.01751422479584526,0.7910860691742981,0.07056582077138256,3
QIAN880114_OOBM770105_RACS770103,0.012998254369128243,0.844953662192853,0.07062927434989921,3
QIAN880114_OOBM770105_RICJ880111,0.018609875336388262,0.7780168831895183,0.07085924690977369,3
QIAN880114_OOBM770105_GEIM800104,0.010105748814563914,0.879456171574973,0.07107592818697893,3
QIAN880114_OOBM770105_FUKS010103,0.019434625539799667,0.7681790622780929,0.07117356832449459,2
QIAN880114_OOBM770105_RACS820114,0.01829438193419221,0.7817801651829062,0.07121876885243458,3
QIAN880114_OOBM770105_ONEK900102,0.014814241648813127,0.8232921244798941,0.07133259162817862,4
QIAN880114_OOBM770105_CHAM830105,0.016146059323688147,0.8074058795079048,0.07142888210819798,3
QIAN880114_OOBM770105_KARS160122,0.014045160621998051,0.8324659099204874,0.07146729452772482,3
QIAN880114_OOBM770105_AVBF000104,0.016623455647286307,0.8017113801117174,0.07147690865465035,4
QIAN880114_OOBM770105_WOEC730101,0.018580396250208537,0.7783685168954199,0.07166159701925481,2
QIAN880114_OOBM770105_QIAN880113,0.003188796697972949,0.9619632578351067,0.07169484017925942,6
QIAN880114_OOBM770105_LEVM780104,0.005860414959837243,0.9300955457748961,0.07171888483402693,5
QIAN880114_OOBM770105_RACS820103,0.014311775815110464,0.829285659086652,0.07172159508057564,3
QIAN880114_OOBM770105_YUTK870103,0.0124463666867776,0.851536712624038,0.07181877834962076,4
QIAN880114_OOBM770105_YUTK870104,0.012475800534370201,0.8511856185350004,0.07181924811636256,4
QIAN880114_OOBM770105_ZIMJ680105,0.021782944535482806,0.7401677424543797,0.07196300517440551,2
QIAN880114_OOBM770105_RICJ880103,0.01579054557832268,0.811646533882998,0.07198353194481248,3
QIAN880114_OOBM770105_ZIMJ680101,0.008327921317826845,0.9006625301208258,0.07199374959855026,5
QIAN880114_OOBM770105_KARP850103,0.01505032691074957,0.820476042086521,0.07200693048757643,3
QIAN880114_OOBM770105_KARS160117,0.018619372902060918,0.7779035939174508,0.07208669491676445,3
