,MSE,R2,cvMSE,n_components
RADA880104,0.20923844248431114,0.9607553736532607,0.32209445034217343,4
COSI940101,0.1654666410698087,0.9689651842914977,0.32576703759447534,6
VELV850101,0.16504509730102104,0.9690442487669279,0.32890060875465776,6
ROSM880101,0.17663165423201213,0.9668710816758181,0.3422134406280768,8
RACS820113,0.15701878473471909,0.970549658737805,0.3504617913766975,7
CORJ870103,0.13897875775636018,0.9739332344786914,0.3508989510810674,9
GRAR740102,0.2243911725885774,0.9579133374384313,0.3590079153253669,5
FAUJ880110,0.1835288257290449,0.9655774526703799,0.3662658130741812,8
RADA880105,0.2578251928369535,0.9516424743200766,0.3726004975369552,3
HOPA770101,0.23414131581574812,0.9560846069086377,0.37305358013497203,5
PRAM820103,0.23145040748830073,0.9565893119264641,0.3747676857393717,4
ISOY800106,0.13014628721569776,0.9755898469155426,0.3758576424995729,10
CORJ870104,0.24018491997065333,0.9549510724393939,0.37826797387721744,4
WOEC730101,0.2518227374451727,0.9527682909540399,0.3782870661701856,4
GEOR030107,0.23561872782251844,0.9558075044724053,0.37910032546140293,2
TANS770108,0.2585104308670303,0.9515139515203003,0.38141875051594976,2
CHOP780201,0.2291473049970189,0.9570212803335859,0.38331661670808265,5
MEEJ810102,0.15310570794311704,0.9712835928788223,0.3862558865701013,10
ISOY800107,0.22926783203884415,0.956998674359918,0.3868098457652555,5
QIAN880138,0.16947126923131908,0.968214078835014,0.3908961182223317,9
GEOR030104,0.22554339662899248,0.9576972270459196,0.39329226535075723,3
AURR980110,0.14875203700602924,0.9721001645715478,0.3939024549412949,10
CORJ870108,0.21387420378860264,0.9598858932745142,0.39411338854538497,5
QIAN880112,0.23118926632443237,0.9566382913935165,0.394283862285732,4
RADA880103,0.1493638091296002,0.9719854209894706,0.394998658148881,10
AURR980104,0.24759246310643263,0.9535617184609404,0.3962777170792562,3
TANS770101,0.24528342415087898,0.9539948003074445,0.39780923909786636,4
BASU050101,0.2138819316354504,0.9598844438445796,0.3996063439517864,6
AURR980111,0.22744282488027198,0.9573409715170175,0.4004680422932938,4
ISOY800104,0.19922454537751674,0.9626335736893765,0.40093668071704264,5
JACR890101,0.21382664741919688,0.9598948129162663,0.401100450870271,8
PRAM820102,0.23497359123202932,0.9559285058722233,0.40291584661459323,4
ROSM880105,0.2246591057856441,0.9578630840620443,0.40331074774848813,5
KUMS000103,0.20747177560913413,0.9610867285447056,0.4035637451247434,6
NAKH900103,0.20789624750571625,0.9610071148715283,0.4043810260057458,8
PRAM900101,0.2328468095118287,0.9563274036700629,0.4047354845647499,6
QIAN880106,0.2470960301152408,0.9536548291102751,0.4058681407903644,3
QIAN880122,0.23290612482567633,0.95631627852833,0.4068878883990464,4
CORJ870107,0.2149307915818141,0.9596877203544008,0.4076705701255521,5
WERD780103,0.23303356435022957,0.9562923760538922,0.4079006422316245,5
CHOP780207,0.21665875515441804,0.959363624629244,0.4083776083482364,5
FASG760105,0.20521001596065505,0.9615109427150885,0.40876455302316245,6
CHAM820102,0.27346627648407656,0.9487088428319935,0.4093314432837958,4
ROBB760101,0.2415732916028404,0.9546906703579758,0.4099968341761025,4
ROBB790101,0.19291072568286227,0.9638177896097181,0.4108176046414043,7
RICJ880115,0.2965164364077738,0.9443855698105653,0.41176064899343795,2
ENGD860101,0.23608188231934876,0.9557206355158545,0.41238128410801783,6
AURR980103,0.2622516843950538,0.9508122444389798,0.41302376251643813,4
PALJ810115,0.201359330915004,0.9622331747007662,0.41374352522216334,7
MAXF760105,0.17096485391339342,0.9679339430623076,0.4138711687334401,8
NAKH900107,0.2789853140337468,0.9476736957344583,0.41398251943416103,2
AURR980118,0.23139264785670974,0.9566001452854435,0.4141620329890941,3
NISK860101,0.1692383609679533,0.9682577629575888,0.41446452551347135,9
QIAN880128,0.25775961011419724,0.9516547749729529,0.41477144969124913,3
