,MSE,R2,cvMSE,n_components
OOBM850103,0.0008008250240335944,0.9989453264979475,0.35942376545456894,10
NAKH900107,0.0015717608971823243,0.9979300165203744,0.3628904872741629,10
BASU050101,0.0014497135441114068,0.9980907508948214,0.43779597422926886,10
WIMW960101,0.006304723951173701,0.9916967813323735,0.4448675787047469,7
GEOR030107,2.534441639264756e-08,0.9999999666218168,0.44934459041169805,10
PONP800105,0.00848332969586135,0.9888275930810273,0.4553763559041547,10
HOPT810101,0.005726013507956669,0.9924589335522777,0.48432506671580344,10
QIAN880138,0.00021558891398227765,0.9997160729146948,0.5184077816206945,10
RACS820113,0.006426332626446004,0.9915366246894363,0.5196736059876599,7
SNEP660101,0.12612574610904737,0.8338944484054689,0.524812626793588,2
WOEC730101,0.004673512293742958,0.9938450604941134,0.5301118661211514,10
CHAM820102,0.00014122106972386212,0.9998140141532802,0.555309075633811,10
QIAN880136,0.019412279612586965,0.9744343441983038,0.5638566479917999,4
NAKH900108,0.005683642094215827,0.9925147360134594,0.566201249129195,8
CASG920101,0.08407331800650256,0.889276810701453,0.5686862185591521,4
KUMS000103,0.0018743657224289468,0.9975314908984185,0.5737664256027825,9
KUMS000101,1.810479808811161e-05,0.9999761562760522,0.5923465121213611,8
QIAN880129,0.003926678615610995,0.99482862827375,0.5980239263705702,10
LEVM760101,0.015507036040179374,0.979577486322077,0.6073859023994346,5
ROBB760103,0.02597987542423779,0.9657849275756184,0.6124901324082346,5
MAXF760103,0.005888156240784658,0.992245394216303,0.6131891454487512,10
RICJ880116,0.0009109840073572962,0.9988002489126602,0.6207204745472823,9
KARP850102,0.054354731586066844,0.9284157045614602,0.6370667848409022,3
ZASB820101,0.09814471673554631,0.8707450079593423,0.640174063368504,8
TANS770103,0.0031896832072516455,0.995799239212474,0.6454553060254139,9
RICJ880108,0.0002724420241132644,0.9996411982954397,0.6457595432981458,10
AURR980116,0.04420175828967719,0.9417870048847363,0.6461936674703568,4
PALJ810103,0.0014847135308054525,0.9980446564828954,0.6534171070722703,10
AURR980107,0.006381752603539181,0.9915953358528861,0.6569919205428796,5
TANS770104,0.001055385086820692,0.9986100750449521,0.659456600578758,7
PUNT030102,0.04713795901716944,0.9379200763909243,0.6642411231986424,3
CHOP780207,0.007897873070118903,0.989598629913345,0.6681211075983313,10
FUKS010109,0.09118787831227282,0.8799070507563203,0.6710135062350605,2
QIAN880134,3.2788481020651847e-06,0.9999956818104995,0.6726855370349186,10
DAYM780201,0.014783139086240047,0.9805308468098535,0.6765358388218848,10
SWER830101,0.0037291465060512383,0.9950887748419827,0.6778842584270581,9
MEEJ810102,0.07821759398653515,0.8969887037790255,0.6857490748223097,3
TANS770107,0.14571928251221242,0.8080900803653277,0.6865670874668576,2
TANS770106,0.05304551619658719,0.9301399198873108,0.6874405135513946,3
FUKS010110,0.059475637530036145,0.9216715549113855,0.6904168359553774,3
GRAR740102,0.01164917640827032,0.9846582245686399,0.6953154806610372,10
MEEJ810101,0.01491565469182226,0.9803563259174967,0.6971730174323896,7
NAKH900110,0.0004730730792869919,0.9993769704663507,0.6979334459208428,10
COSI940101,0.003576998041242984,0.9952891518898963,0.7007440641254823,8
PONP800104,0.0025787314516144875,0.9966038527152556,0.7008482396108779,10
NADH010107,0.032520958544134324,0.9571704277357784,0.7057443665074776,4
SNEP660103,0.0012619787027502776,0.998337994620546,0.7108369803479798,10
RICJ880103,0.1262986119868036,0.8336667868624263,0.7152920828431275,2
QIAN880112,0.004606676067342049,0.9939330827147568,0.7153993130510903,7
CHOP780202,2.7283465870901965e-05,0.9999640681202078,0.7184743523774675,10
ARGP820102,0.10637746329982692,0.8599026149397959,0.718528123769694,4
RICJ880115,0.0014401254438987435,0.9981033782665016,0.726990182634673,6
VELV850101,0.0034443522533890484,0.9954638442301827,0.7276645955810113,8
MEEJ800101,0.03020729015026758,0.9602174912943781,0.727737790171772,5
GEIM800103,0.08803796881924386,0.8840554302105837,0.732073352296842,4
SUEM840102,0.06077971229252293,0.9199541097074848,0.7346007887687407,5
PRAM900101,0.01682939898048696,0.9778359558861099,0.7398275458609438,5
ENGD860101,0.01685253478099891,0.9778054864139825,0.739967523900859,5
ROSM880104,0.030045901155304762,0.9604300379698713,0.7440336844324466,3
BURA740102,0.0012688551191100505,0.9983289384922956,0.7455136266642727,10
QIAN880103,0.02678557237698163,0.9647238378228741,0.7472350157997458,3
AURR980105,0.1357347957655311,0.8212394866492112,0.7532190715909629,3
CIDH920101,0.0001742524688099017,0.9997705123391433,0.7533586150274888,10
CORJ870103,0.0018458092099308736,0.9975690993598663,0.7566715262251805,9
QIAN880106,0.0002608293200338288,0.9996564920374086,0.757450598279402,10
QIAN880115,0.12424965040819379,0.8363652358604345,0.7634916421311415,2
SIMZ760101,0.0012000185148837604,0.998419595177926,0.7635118747264233,9
QIAN880130,0.0013893256601118743,0.9981702807536393,0.7636874255964549,10
ROSM880105,0.018487482712727654,0.9756522866398988,0.7654822037517065,4
MAXF760104,0.11292736372991612,0.8512765028461671,0.7676537656530026,2
NADH010106,0.033854127160356504,0.9554146664007799,0.7682724316075673,5
GEOR030103,2.219244951223071e-05,0.9999707729057612,0.769906568894828,10
PALJ810111,0.09636361278028407,0.8730906928338662,0.7715755021428037,4
TANS770108,8.9198057920124e-06,0.9999882527611775,0.7715766619040445,10
JOND750101,0.34415995781982583,0.5467469458536509,0.7720844722840995,2
ARGP820101,0.02455963083160782,0.9676553665520823,0.7724995690861872,7
QIAN880104,0.08885756149799934,0.8829760400132024,0.7729412534490657,3
LEWP710101,0.003392771706300481,0.9955317749698613,0.7742394590992254,10
ZIMJ680105,0.002093063223224665,0.9972434698549544,0.7748905991874947,8
CORJ870104,0.008632731867942948,0.9886308328558662,0.7781942334871144,5
CRAJ730103,0.005623022149979406,0.9925945714918265,0.7803852646985668,9
KRIW790103,0.0010127856521460145,0.9986661778059867,0.7806978699878454,10
QIAN880113,0.0031161474524685874,0.9958960846027847,0.7816979234949909,9
FUKS010105,0.001766134897494598,0.9976740291305389,0.7830040984637276,7
NADH010103,0.0014040693240266419,0.9981508635886065,0.784962828302836,10
MANP780101,0.003419489851196667,0.9954965876085773,0.787827760717928,4
PALJ810115,0.0465770359587634,0.9386588029149924,0.7902296448590682,3
FINA910101,0.15266841982857063,0.7989381798006181,0.7910448882850987,3
JOND920102,0.004056737371680311,0.9946573430121515,0.7914058704839027,7
FUKS010102,0.10300563143025118,0.8643432625463177,0.791823914542857,4
ISOY800101,0.019238545015237245,0.9746631498308895,0.7931485056903629,4
AVBF000106,0.0002127032334202737,0.9997198733089542,0.7934566007652752,10
QIAN880123,5.11497184968537e-08,0.9999999326366545,0.793603497373849,10
NADH010104,0.00010085586741516835,0.9998671744667099,0.7937498053641868,10
